# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
0 200
58 2.875 0 0 0.103169 7.95703 1.35858 5.22266
59 2.925 0 0 0.0142388 7.96094 1.21267 5.55469
60 2.975 0 0 0.0412927 7.97266 0.786097 5.77734
61 3.025 0 0 0.039939 7.98438 0.28012 5.85938
62 3.075 0 0 0.0257672 7.99219 0.296902 5.94922
63 3.125 0 0 0 7.99219 0.12499 5.98828
64 3.175 0 0 0 7.99219 0.121085 6.02734
65 3.225 0 0 0.011713 7.99609 0.0352078 6.03906
66 3.275 0 0 0.0113581 8 0.170705 6.09766
67 3.325 0 0 0 8 0.198731 6.16797
68 3.375 0 0 0 8 0.257182 6.26172
69 3.425 0.041703 0.0078125 0 8 0.384998 6.40625
70 3.475 0.121535 0.03125 0 8 0.586268 6.63281
71 3.525 0.551187 0.140625 0 8 1.0511 7.05078
72 3.575 1.26314 0.398438 0 8 1.56628 7.69141
73 3.625 3.72283 1.17969 0.00927072 8.00391 1.69986 8.40625
74 3.675 4.02066 2.04688 0 8.00391 2.12389 9.32422
75 3.725 6.76922 3.54688 0 8.00391 2.32236 10.3555
76 3.775 7.82692 5.32812 0.00854862 8.00781 2.30408 11.4062
77 3.825 8.59331 7.33594 0.0166532 8.01562 2.8783 12.7539
78 3.875 7.06979 9.03125 0.0162262 8.02344 2.32489 13.8711
79 3.925 5.36658 10.3516 0.0790772 8.0625 1.83026 14.7734
80 3.975 2.84842 11.0703 0.123361 8.125 1.66863 15.6172
81 4.025 1.87219 11.5547 0.300787 8.28125 1.19797 16.2383
82 4.075 0.913266 11.7969 0.381486 8.48438 1.03644 16.7891
83 4.125 0.488756 11.9297 0.630037 8.82812 0.796261 17.2227
84 4.175 0.112263 11.9609 1.12524 9.45703 0.61624 17.5664
85 4.225 0.109622 11.9922 1.61061 10.3789 0.540199 17.875
86 4.275 0.0267682 12 2.27974 11.7148 0.420774 18.1211
87 4.325 0 12 3.00234 13.5156 0.489406 18.4141
88 4.375 0 12 3.81244 15.8555 0.497415 18.7188
89 4.425 0 12 3.97563 18.3516 0.691954 19.1523
90 4.475 0 12 4.42263 21.1914 0.804579 19.668
91 4.525 0 12 3.76021 23.6602 0.912085 20.2656
92 4.575 0 12 3.55624 26.0469 0.938912 20.8945
93 4.625 0 12 2.85329 28.0039 1.14127 21.6758
94 4.675 0 12 2.00108 29.4062 0.971779 22.3555
95 4.725 0 12 1.50604 30.4844 0.984125 23.0586
96 4.775 0 12 0.87091 31.1211 0.861908 23.6875
97 4.825 0 12 0.57038 31.5469 0.749761 24.2461
98 4.875 0 12 0.297311 31.7734 0.611195 24.7109
99 4.925 0 12 0.175788 31.9102 0.533427 25.125
100 4.975 0.0592963 12.0234 0.0689088 31.9648 0.448784 25.4805
101 5.025 0.0387481 12.0391 0.0289476 31.9883 0.32388 25.7422
102 5.075 0.0759767 12.0703 0.00945999 31.9961 0.303312 25.9922
103 5.125 0.409758 12.2422 0 31.9961 0.38572 26.3164
104 5.175 0.548016 12.4766 0.00454896 32 0.446671 26.6992
105 5.225 0.878044 12.8594 0.00446232 32.0039 0.536526 27.168
106 5.275 1.09003 13.3438 0.0131344 32.0156 0.622911 27.7227
107 5.325 1.65625 14.0938 0.0214815 32.0352 0.675838 28.3359
108 5.375 2.23517 15.125 0.0674678 32.0977 0.815423 29.0898
109 5.425 1.79522 15.9688 0.111763 32.2031 0.700922 29.75
110 5.475 1.33825 16.6094 0.243846 32.4375 0.69225 30.4141
111 5.525 1.37825 17.2812 0.279362 32.7109 0.683776 31.082
112 5.575 0.708298 17.6328 0.595782 33.3047 0.687276 31.7656
113 5.625 0.463841 17.8672 1.04342 34.3633 0.682827 32.457
114 5.675 0.0759507 17.9062 1.43364 35.8438 0.716329 33.1953
115 5.725 0.0895558 17.9531 1.79527 37.7305 0.849115 34.0859
116 5.775 0.0586745 17.9844 2.16978 40.0508 1.06505 35.2227
117 5.825 0.0144179 17.9922 2.45942 42.7266 1.45695 36.8047
118 5.875 0.0141735 18 2.37185 45.3516 1.46055 38.418
119 5.925 0 18 2.16195 47.7852 1.68635 40.3125
120 5.975 0 18 1.83928 49.8906 1.87023 42.4492
121 6.025 0 18 1.52026 51.6602 1.84268 44.5898
122 6.075 0 18 1.23456 53.1211 2.07707 47.043
123 6.125 0.0130401 18.0078 0.789093 54.0703 1.86434 49.2812
124 6.175 0.064149 18.0469 0.62301 54.832 1.71583 51.375
125 6.225 0.151494 18.1406 0.374113 55.2969 1.61593 53.3789
126 6.275 0.335452 18.3516 0.204198 55.5547 1.37638 55.1133
127 6.325 0.782624 18.8516 0.146169 55.7422 1.37606 56.875
128 6.375 1.5769 19.875 0.0989208 55.8711 1.52576 58.8594
129 6.425 2.28721 21.3828 0.0649248 55.957 1.49324 60.832
130 6.475 3.47721 23.7109 0.0581145 56.0352 1.47318 62.8086
131 6.525 4.03311 26.4531 0.0915637 56.1602 1.69438 65.1172
132 6.575 4.51518 29.5703 0.185989 56.418 1.67717 67.4375
133 6.625 4.58104 32.7812 0.341403 56.8984 1.60746 69.6953
134 6.675 4.20524 35.7734 0.459347 57.5547 1.44649 71.7578
135 6.725 2.90979 37.875 0.724606 58.6055 1.29551 73.6328
136 6.775 2.48331 39.6953 0.97936 60.0469 1.15945 75.3359
137 6.825 1.42833 40.7578 1.48029 62.2578 0.854271 76.6094
138 6.875 0.900468 41.4375 1.75266 64.9141 0.679194 77.6367
139 6.925 0.39785 41.7422 2.04753 68.0625 0.506521 78.4141
140 6.975 0.241333 41.9297 2.17103 71.4492 0.343729 78.9492
141 7.025 0.0594775 41.9766 2.11802 74.8008 0.316593 79.4492
142 7.075 0.00977331 41.9844 1.9811 77.9805 0.175575 79.7305
143 7.125 0.0289099 42.0078 1.70862 80.7617 0.139458 79.957
144 7.175 0.00950278 42.0156 1.35832 83.0039 0.147005 80.1992
145 7.225 0.0281151 42.0391 1.06654 84.7891 0.159007 80.4648
146 7.275 0.147893 42.1641 0.757294 86.0742 0.198343 80.8008
147 7.325 0.255292 42.3828 0.522213 86.9727 0.266167 81.2578
148 7.375 0.440724 42.7656 0.273257 87.4492 0.323164 81.8203
149 7.425 0.736512 43.4141 0.267379 87.9219 0.429529 82.5781
150 7.475 1.13819 44.4297 0.204946 88.2891 0.471862 83.4219
151 7.525 1.25271 45.5625 0.212989 88.6758 0.519503 84.3633
152 7.575 1.63693 47.0625 0.290864 89.2109 0.701993 85.6523
153 7.625 1.81748 48.75 0.488215 90.1211 0.759999 87.0664
