Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.05					
2	50.00	50.00	54.05			
3	50.00	50.00	54.03			
						
Results Table 2						
						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	4.2400	0.3493	2.7848	-0.0506	-0.0253	-0.0506
	4.2600	0.3510	2.7964	-0.0500	-0.0250	-0.0500
	4.2800	0.3527	2.8088	-0.0493	-0.0246	-0.0493
	4.3000	0.3544	2.8213	-0.0485	-0.0243	-0.0485
	4.3200	0.3563	2.8340	-0.0478	-0.0239	-0.0478
	4.3400	0.3579	2.8474	-0.0470	-0.0235	-0.0470
	4.3600	0.3595	2.8596	-0.0463	-0.0231	-0.0463
	4.3800	0.3611	2.8708	-0.0456	-0.0228	-0.0456
	4.4000	0.3627	2.8822	-0.0450	-0.0225	-0.0450
	4.4200	0.3644	2.8936	-0.0443	-0.0222	-0.0443
	4.4400	0.3661	2.9057	-0.0436	-0.0218	-0.0436
	4.4600	0.3677	2.9180	-0.0429	-0.0215	-0.0429
	4.4800	0.3694	2.9296	-0.0422	-0.0211	-0.0422
	4.5000	0.3712	2.9416	-0.0415	-0.0208	-0.0415
	4.5200	0.3728	2.9540	-0.0408	-0.0204	-0.0408
	4.5400	0.3745	2.9659	-0.0401	-0.0201	-0.0401
	4.5600	0.3762	2.9778	-0.0394	-0.0197	-0.0394
	4.5800	0.3778	2.9896	-0.0387	-0.0193	-0.0387
	4.6000	0.3795	3.0013	-0.0380	-0.0190	-0.0380
	4.6200	0.3811	3.0128	-0.0374	-0.0187	-0.0374
	4.6400	0.3827	3.0236	-0.0368	-0.0184	-0.0368
	4.6600	0.3845	3.0346	-0.0361	-0.0181	-0.0361
	4.6800	0.3863	3.0470	-0.0354	-0.0177	-0.0354
	4.7000	0.3879	3.0592	-0.0347	-0.0173	-0.0347
	4.7200	0.3896	3.0705	-0.0340	-0.0170	-0.0340
	4.7400	0.3912	3.0814	-0.0333	-0.0167	-0.0333
	4.7600	0.3928	3.0920	-0.0327	-0.0164	-0.0327
	4.7800	0.3945	3.1027	-0.0321	-0.0161	-0.0321
	4.8000	0.3960	3.1135	-0.0315	-0.0157	-0.0315
	4.8200	0.3979	3.1241	-0.0308	-0.0154	-0.0308
	4.8400	0.3997	3.1360	-0.0301	-0.0151	-0.0301
	4.8600	0.4013	3.1479	-0.0295	-0.0147	-0.0295
	4.8800	0.4029	3.1585	-0.0288	-0.0144	-0.0288
	4.9000	0.4045	3.1687	-0.0282	-0.0141	-0.0282
	4.9200	0.4062	3.1785	-0.0276	-0.0138	-0.0276
	4.9400	0.4079	3.1885	-0.0271	-0.0135	-0.0271
	4.9600	0.4095	3.1991	-0.0265	-0.0132	-0.0265
	4.9800	0.4113	3.2095	-0.0258	-0.0129	-0.0258
	5.0000	0.4131	3.2203	-0.0252	-0.0126	-0.0252
	5.0200	0.4147	3.2315	-0.0246	-0.0123	-0.0246
	5.0400	0.4163	3.2413	-0.0240	-0.0120	-0.0240
	5.0600	0.4180	3.2507	-0.0235	-0.0117	-0.0235
	5.0800	0.4196	3.2602	-0.0229	-0.0114	-0.0229
	5.1000	0.4212	3.2699	-0.0223	-0.0112	-0.0223
	5.1200	0.4229	3.2798	-0.0218	-0.0109	-0.0218
	5.1400	0.4244	3.2893	-0.0212	-0.0106	-0.0212
	5.1600	0.4261	3.2985	-0.0206	-0.0103	-0.0206
	5.1800	0.4278	3.3084	-0.0201	-0.0100	-0.0201
	5.2000	0.4294	3.3183	-0.0195	-0.0097	-0.0195
	5.2200	0.4311	3.3279	-0.0189	-0.0095	-0.0189
	5.2400	0.4328	3.3379	-0.0184	-0.0092	-0.0184
	5.2600	0.4344	3.3474	-0.0178	-0.0089	-0.0178
	5.2800	0.4361	3.3568	-0.0172	-0.0086	-0.0172
	5.3000	0.4376	3.3661	-0.0167	-0.0083	-0.0167
	5.3200	0.4393	3.3750	-0.0162	-0.0081	-0.0162
	5.3400	0.4412	3.3848	-0.0156	-0.0078	-0.0156
	5.3600	0.4429	3.3958	-0.0150	-0.0075	-0.0150
	5.3800	0.4446	3.4060	-0.0143	-0.0072	-0.0143
	5.4000	0.4462	3.4157	-0.0138	-0.0069	-0.0138
	5.4200	0.4478	3.4247	-0.0132	-0.0066	-0.0132
	5.4400	0.4494	3.4333	-0.0127	-0.0064	-0.0127
	5.4600	0.4510	3.4423	-0.0122	-0.0061	-0.0122
	5.4800	0.4526	3.4515	-0.0116	-0.0058	-0.0116
	5.5000	0.4546	3.4614	-0.0111	-0.0055	-0.0111
	5.5200	0.4563	3.4726	-0.0104	-0.0052	-0.0104
	5.5400	0.4579	3.4830	-0.0098	-0.0049	-0.0098
	5.5600	0.4595	3.4922	-0.0093	-0.0046	-0.0093
	5.5800	0.4611	3.5009	-0.0088	-0.0044	-0.0088
	5.6000	0.4627	3.5095	-0.0083	-0.0041	-0.0083
	5.6200	0.4644	3.5187	-0.0077	-0.0038	-0.0077
	5.6400	0.4661	3.5284	-0.0071	-0.0036	-0.0071
	5.6600	0.4679	3.5381	-0.0065	-0.0033	-0.0065
	5.6800	0.4697	3.5486	-0.0059	-0.0030	-0.0059
	5.7000	0.4712	3.5590	-0.0053	-0.0027	-0.0053
	5.7200	0.4728	3.5677	-0.0048	-0.0024	-0.0048
	5.7400	0.4745	3.5764	-0.0043	-0.0021	-0.0043
	5.7600	0.4761	3.5853	-0.0038	-0.0019	-0.0038
	5.7800	0.4778	3.5947	-0.0032	-0.0016	-0.0032
	5.8000	0.4795	3.6044	-0.0026	-0.0013	-0.0026
	5.8200	0.4811	3.6137	-0.0021	-0.0011	-0.0021
	5.8400	0.4829	3.6232	-0.0015	-0.0008	-0.0015
	5.8600	0.4846	3.6331	-0.0010	-0.0005	-0.0010
	5.8800	0.4862	3.6424	-0.0004	-0.0002	-0.0004
	5.9000	0.4879	3.6515	0.0001	0.0000	0.0001
	5.9200	0.4895	3.6607	0.0007	0.0003	0.0007
	5.9400	0.4912	3.6697	0.0012	0.0006	0.0012
	5.9600	0.4929	3.6790	0.0017	0.0009	0.0017
	5.9800	0.4945	3.6882	0.0023	0.0011	0.0023
	6.0000	0.4963	3.6971	0.0028	0.0014	0.0028
	6.0200	0.4981	3.7071	0.0034	0.0017	0.0034
	6.0400	0.4997	3.7173	0.0040	0.0020	0.0040
	6.0600	0.5014	3.7266	0.0046	0.0023	0.0046
	6.0800	0.5030	3.7356	0.0051	0.0026	0.0051
	6.1000	0.5046	3.7442	0.0056	0.0028	0.0056
	6.1200	0.5062	3.7529	0.0061	0.0030	0.0061
	6.1400	0.5077	3.7618	0.0066	0.0033	0.0066
	6.1600	0.5094	3.7703	0.0071	0.0036	0.0071
	6.1800	0.5113	3.7798	0.0077	0.0039	0.0077
	6.2000	0.5129	3.7902	0.0083	0.0042	0.0083
	6.2200	0.5145	3.7997	0.0089	0.0045	0.0089
	6.2400	0.5161	3.8086	0.0094	0.0047	0.0094
	6.2600	0.5177	3.8174	0.0099	0.0050	0.0099
	6.2800	0.5195	3.8263	0.0104	0.0052	0.0104
	6.3000	0.5211	3.8357	0.0110	0.0055	0.0110
	6.3200	0.5228	3.8452	0.0116	0.0058	0.0116
	6.3400	0.5246	3.8547	0.0122	0.0061	0.0122
	6.3600	0.5263	3.8648	0.0127	0.0064	0.0127
	6.3800	0.5278	3.8743	0.0133	0.0066	0.0133
	6.4000	0.5295	3.8828	0.0138	0.0069	0.0138
	6.4200	0.5311	3.8916	0.0143	0.0072	0.0143
	6.4400	0.5328	3.9006	0.0148	0.0074	0.0148
	6.4600	0.5345	3.9100	0.0154	0.0077	0.0154
	6.4800	0.5361	3.9195	0.0159	0.0080	0.0159
	6.5000	0.5377	3.9283	0.0165	0.0082	0.0165
	6.5200	0.5395	3.9375	0.0170	0.0085	0.0170
	6.5400	0.5411	3.9473	0.0176	0.0088	0.0176
	6.5600	0.5428	3.9564	0.0182	0.0091	0.0182
	6.5800	0.5445	3.9656	0.0187	0.0094	0.0187
	6.6000	0.5462	3.9751	0.0193	0.0096	0.0193
	6.6200	0.5478	3.9842	0.0198	0.0099	0.0198
	6.6400	0.5494	3.9933	0.0204	0.0102	0.0204
	6.6600	0.5509	4.0017	0.0208	0.0104	0.0208
	6.6800	0.5528	4.0104	0.0214	0.0107	0.0214
	6.7000	0.5546	4.0206	0.0220	0.0110	0.0220
	6.7200	0.5562	4.0309	0.0226	0.0113	0.0226
	6.7400	0.5579	4.0403	0.0232	0.0116	0.0232
	6.7600	0.5595	4.0495	0.0237	0.0119	0.0237
	6.7800	0.5611	4.0579	0.0242	0.0121	0.0242
	6.8000	0.5627	4.0664	0.0247	0.0124	0.0247
	6.8200	0.5643	4.0752	0.0252	0.0126	0.0252
	6.8400	0.5661	4.0840	0.0258	0.0129	0.0258
	6.8600	0.5680	4.0942	0.0263	0.0132	0.0263
	6.8800	0.5697	4.1049	0.0269	0.0135	0.0269
	6.9000	0.5713	4.1143	0.0275	0.0138	0.0275
	6.9200	0.5729	4.1229	0.0280	0.0140	0.0280
	6.9400	0.5744	4.1311	0.0285	0.0143	0.0285
	6.9600	0.5762	4.1396	0.0290	0.0145	0.0290
	6.9800	0.5779	4.1489	0.0296	0.0148	0.0296
	7.0000	0.5796	4.1582	0.0302	0.0151	0.0302
	7.0200	0.5815	4.1679	0.0308	0.0154	0.0308
	7.0400	0.5832	4.1781	0.0313	0.0157	0.0313
	7.0600	0.5847	4.1870	0.0319	0.0159	0.0319
	7.0800	0.5863	4.1950	0.0324	0.0162	0.0324
	7.1000	0.5879	4.2031	0.0329	0.0164	0.0329
	7.1200	0.5895	4.2115	0.0333	0.0167	0.0333
	7.1400	0.5912	4.2206	0.0338	0.0169	0.0338
	7.1600	0.5928	4.2295	0.0344	0.0172	0.0344
	7.1800	0.5945	4.2381	0.0349	0.0174	0.0349
	7.2000	0.5963	4.2473	0.0355	0.0177	0.0355
	7.2200	0.5978	4.2567	0.0360	0.0180	0.0360
	7.2400	0.5995	4.2653	0.0365	0.0183	0.0365
	7.2600	0.6012	4.2741	0.0370	0.0185	0.0370
	7.2800	0.6028	4.2831	0.0376	0.0188	0.0376
	7.3000	0.6045	4.2922	0.0381	0.0191	0.0381
	7.3200	0.6061	4.3011	0.0387	0.0194	0.0387
	7.3400	0.6077	4.3096	0.0392	0.0196	0.0392
	7.3600	0.6096	4.3184	0.0397	0.0199	0.0397
	7.3800	0.6113	4.3283	0.0403	0.0202	0.0403
	7.4000	0.6129	4.3378	0.0409	0.0204	0.0409
	7.4200	0.6145	4.3465	0.0414	0.0207	0.0414
	7.4400	0.6161	4.3551	0.0419	0.0210	0.0419
	7.4600	0.6177	4.3634	0.0424	0.0212	0.0424
	7.4800	0.6194	4.3720	0.0429	0.0214	0.0429
	7.5000	0.6210	4.3808	0.0435	0.0217	0.0435
	7.5200	0.6228	4.3898	0.0440	0.0220	0.0440
	7.5400	0.6247	4.4000	0.0446	0.0223	0.0446
	7.5600	0.6262	4.4100	0.0452	0.0226	0.0452
	7.5800	0.6279	4.4187	0.0457	0.0228	0.0457
	7.6000	0.6295	4.4272	0.0462	0.0231	0.0462
	7.6200	0.6311	4.4355	0.0467	0.0233	0.0467
	7.6400	0.6328	4.4440	0.0472	0.0236	0.0472
	7.6600	0.6344	4.4531	0.0478	0.0239	0.0478
	7.6800	0.6361	4.4621	0.0483	0.0241	0.0483
	7.7000	0.6380	4.4716	0.0489	0.0244	0.0489
	7.7200	0.6395	4.4816	0.0495	0.0247	0.0495
	7.7400	0.6411	4.4903	0.0500	0.0250	0.0500
	7.7600	0.6428	4.4986	0.0505	0.0253	0.0505
	7.7800	0.6445	4.5077	0.0510	0.0255	0.0510
	7.8000	0.6462	4.5167	0.0515	0.0258	0.0515
	7.8200	0.6479	4.5260	0.0521	0.0261	0.0521
	7.8400	0.6494	4.5352	0.0527	0.0263	0.0527
	7.8600	0.6512	4.5437	0.0532	0.0266	0.0532
	7.8800	0.6529	4.5531	0.0537	0.0269	0.0537
	7.9000	0.6545	4.5625	0.0543	0.0272	0.0543
	7.9200	0.6563	4.5714	0.0548	0.0274	0.0548
	7.9400	0.6579	4.5805	0.0554	0.0277	0.0554
	7.9600	0.6596	4.5895	0.0559	0.0280	0.0559
	7.9800	0.6613	4.5985	0.0565	0.0282	0.0565
	8.0000	0.6628	4.6073	0.0570	0.0285	0.0570
	8.0200	0.6645	4.6155	0.0575	0.0288	0.0575
	8.0400	0.6664	4.6249	0.0581	0.0290	0.0581
	8.0600	0.6681	4.6355	0.0587	0.0293	0.0587
	8.0800	0.6698	4.6449	0.0592	0.0296	0.0592
	8.1000	0.6714	4.6538	0.0598	0.0299	0.0598
	8.1200	0.6729	4.6621	0.0603	0.0301	0.0603
	8.1400	0.6745	4.6700	0.0608	0.0304	0.0608
	8.1600	0.6760	4.6783	0.0612	0.0306	0.0612
