True Plastic Strain (-)	 True Stress (MPa)
0.277	859.8259671282300
0.278	860.0519791102950
0.279	860.2749275059920
0.28	860.4948538421540
0.281	860.7117990827150
0.28200000000000000	860.9258036363470
0.28300000000000000	861.1369073639820
0.28400000000000000	861.34514958624
0.28500000000000000	861.5505690907490
0.28600000000000000	861.7532041393730
0.28700000000000000	861.9530924753360
0.28800000000000000	862.1502713302560
0.289	862.3447774310750
0.29	862.536647006903
0.291	862.7259157957670
0.292	862.9126190512630
0.293	863.096791549129
0.294	863.2784675937160
0.295	863.4576810243810
0.296	863.6344652217900
0.297	863.8088531141350
0.298	863.9808771832670
0.299	864.1505694707470
0.3	864.3179615838110
0.301	864.4830847012640
0.302	864.6459695792790
0.303	864.8066465571320
0.304	864.9651455628520
0.305	865.1214961187910
0.306	865.2757273471290
0.307	865.4278679752960
0.308	865.5779463413190
0.309	865.7259903991090
0.31	865.8720277236570
0.311	866.0160855161810
0.312	866.1581906091820
0.313	866.2983694714510
0.314	866.4366482129940
0.315	866.5730525898970
0.316	866.7076080091220
0.317	866.8403395332410
0.318	866.9712718851030
0.319	867.1004294524410
0.32	867.2278362924100
0.321	867.3535161360730
0.322	867.4774923928200
0.323	867.5997881547240
0.324	867.7204262008500
0.325	867.8394290014890
0.326	867.9568187223510
0.327	868.0726172286880
0.328	868.1868460893720
0.329	868.2995265809060
0.33	868.4106796913940
0.331	868.5203261244450
0.332	868.6284863030300
0.333	868.7351803732890
0.334	868.8404282082820
0.335	868.9442494116880
0.336	869.0466633214620
0.337	869.147689013429
0.338	869.247345304846
0.339	869.3456507579000
0.34	869.4426236831700
0.341	869.5382821430320
0.342	869.6326439550320
0.343	869.725726695196
0.34400000000000000	869.8175477013090
0.34500000000000000	869.9081240761410
0.34600000000000000	869.9974726906370
0.34700000000000000	870.0856101870540
0.34800000000000000	870.1725529820670
0.34900000000000000	870.2583172698210
0.35000000000000000	870.3429190249500
0.35100000000000000	870.4263740055520
0.352	870.508697756126
0.353	870.5899056104650
0.354	870.6700126945110
0.355	870.7490339291780
