Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.04			
2	50.00	50.00	54.04			
3	50.00	50.00	54.04			
						
Results Table 2						
						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	31.2600	2.6011	8.5675	1.9242	0.9621	1.9242
	31.2800	2.6028	8.5688	1.9257	0.9629	1.9257
	31.3000	2.6043	8.5701	1.9274	0.9637	1.9274
	31.3200	2.6061	8.5706	1.9290	0.9645	1.9290
	31.3400	2.6078	8.5724	1.9306	0.9653	1.9306
	31.3600	2.6095	8.5743	1.9322	0.9661	1.9322
	31.3800	2.6112	8.5760	1.9339	0.9669	1.9339
	31.4000	2.6127	8.5769	1.9355	0.9678	1.9355
	31.4200	2.6144	8.5762	1.9372	0.9686	1.9372
	31.4400	2.6163	8.5768	1.9387	0.9694	1.9387
	31.4600	2.6179	8.5797	1.9404	0.9702	1.9404
	31.4800	2.6196	8.5814	1.9421	0.9710	1.9421
	31.5000	2.6213	8.5822	1.9437	0.9719	1.9437
	31.5200	2.6228	8.5825	1.9454	0.9727	1.9454
	31.5400	2.6245	8.5821	1.9470	0.9735	1.9470
	31.5600	2.6260	8.5817	1.9486	0.9743	1.9486
	31.5800	2.6276	8.5813	1.9502	0.9751	1.9502
	31.6000	2.6295	8.5818	1.9518	0.9759	1.9518
	31.6200	2.6313	8.5854	1.9534	0.9767	1.9534
	31.6400	2.6329	8.5882	1.9551	0.9775	1.9551
	31.6600	2.6345	8.5887	1.9567	0.9784	1.9567
	31.6800	2.6361	8.5889	1.9584	0.9792	1.9584
	31.7000	2.6377	8.5887	1.9600	0.9800	1.9600
	31.7200	2.6394	8.5885	1.9615	0.9808	1.9615
	31.7400	2.6410	8.5893	1.9632	0.9816	1.9632
	31.7600	2.6428	8.5900	1.9648	0.9824	1.9648
	31.7800	2.6446	8.5923	1.9664	0.9832	1.9664
	31.8000	2.6462	8.5949	1.9681	0.9841	1.9681
	31.8200	2.6478	8.5946	1.9697	0.9849	1.9697
	31.8400	2.6495	8.5943	1.9713	0.9857	1.9713
	31.8600	2.6511	8.5948	1.9729	0.9865	1.9729
	31.8800	2.6528	8.5955	1.9745	0.9873	1.9745
	31.9000	2.6544	8.5969	1.9762	0.9881	1.9762
	31.9200	2.6560	8.5975	1.9778	0.9889	1.9778
	31.9400	2.6579	8.5980	1.9794	0.9897	1.9794
	31.9600	2.6596	8.6004	1.9810	0.9905	1.9810
	31.9800	2.6611	8.6019	1.9827	0.9913	1.9827
	32.0000	2.6629	8.6024	1.9843	0.9922	1.9843
	32.0200	2.6645	8.6034	1.9860	0.9930	1.9860
	32.0400	2.6662	8.6040	1.9876	0.9938	1.9876
	32.0600	2.6679	8.6048	1.9892	0.9946	1.9892
	32.0800	2.6694	8.6051	1.9909	0.9955	1.9909
	32.1000	2.6712	8.6051	1.9925	0.9963	1.9925
	32.1200	2.6731	8.6076	1.9942	0.9971	1.9942
	32.1400	2.6747	8.6108	1.9959	0.9979	1.9959
	32.1600	2.6764	8.6115	1.9975	0.9988	1.9975
	32.1800	2.6780	8.6112	1.9992	0.9996	1.9992
	32.2000	2.6795	8.6103	2.0008	1.0004	2.0008
	32.2200	2.6811	8.6095	2.0023	1.0012	2.0023
	32.2400	2.6827	8.6094	2.0039	1.0020	2.0039
	32.2600	2.6844	8.6094	2.0054	1.0027	2.0054
	32.2800	2.6863	8.6110	2.0071	1.0035	2.0071
	32.3000	2.6879	8.6147	2.0088	1.0044	2.0088
	32.3200	2.6894	8.6161	2.0104	1.0052	2.0104
	32.3400	2.6911	8.6155	2.0120	1.0060	2.0120
	32.3600	2.6927	8.6153	2.0136	1.0068	2.0136
	32.3800	2.6944	8.6153	2.0152	1.0076	2.0152
	32.4000	2.6961	8.6166	2.0169	1.0084	2.0169
	32.4200	2.6978	8.6186	2.0185	1.0092	2.0185
	32.4400	2.6996	8.6203	2.0201	1.0100	2.0201
	32.4600	2.7013	8.6232	2.0218	1.0109	2.0218
	32.4800	2.7028	8.6242	2.0234	1.0117	2.0234
	32.5000	2.7044	8.6229	2.0250	1.0125	2.0250
	32.5200	2.7061	8.6224	2.0266	1.0133	2.0266
	32.5400	2.7078	8.6229	2.0282	1.0141	2.0282
	32.5600	2.7095	8.6240	2.0299	1.0149	2.0299
	32.5800	2.7110	8.6253	2.0315	1.0157	2.0315
	32.6000	2.7127	8.6255	2.0331	1.0165	2.0331
	32.6200	2.7144	8.6262	2.0347	1.0173	2.0347
	32.6400	2.7160	8.6280	2.0363	1.0182	2.0363
	32.6600	2.7177	8.6288	2.0380	1.0190	2.0380
	32.6800	2.7195	8.6297	2.0396	1.0198	2.0396
	32.7000	2.7211	8.6318	2.0412	1.0206	2.0412
	32.7200	2.7228	8.6332	2.0429	1.0215	2.0429
	32.7400	2.7244	8.6339	2.0445	1.0223	2.0445
	32.7600	2.7259	8.6335	2.0461	1.0231	2.0461
	32.7800	2.7277	8.6327	2.0477	1.0239	2.0477
	32.8000	2.7295	8.6346	2.0494	1.0247	2.0494
	32.8200	2.7311	8.6374	2.0510	1.0255	2.0510
	32.8400	2.7329	8.6387	2.0527	1.0263	2.0527
	32.8600	2.7345	8.6400	2.0543	1.0271	2.0543
	32.8800	2.7362	8.6404	2.0559	1.0280	2.0559
	32.9000	2.7378	8.6404	2.0576	1.0288	2.0576
	32.9200	2.7393	8.6401	2.0592	1.0296	2.0592
	32.9400	2.7411	8.6395	2.0608	1.0304	2.0608
	32.9600	2.7430	8.6416	2.0624	1.0312	2.0624
	32.9800	2.7446	8.6457	2.0641	1.0321	2.0641
	33.0000	2.7463	8.6470	2.0658	1.0329	2.0658
	33.0200	2.7480	8.6473	2.0674	1.0337	2.0674
	33.0400	2.7496	8.6474	2.0691	1.0345	2.0691
	33.0600	2.7512	8.6471	2.0707	1.0353	2.0707
	33.0800	2.7529	8.6474	2.0723	1.0361	2.0723
	33.1000	2.7546	8.6479	2.0739	1.0370	2.0739
	33.1200	2.7565	8.6496	2.0756	1.0378	2.0756
	33.1400	2.7581	8.6528	2.0773	1.0386	2.0773
	33.1600	2.7596	8.6536	2.0789	1.0395	2.0789
	33.1800	2.7613	8.6527	2.0805	1.0403	2.0805
	33.2000	2.7629	8.6524	2.0821	1.0411	2.0821
	33.2200	2.7645	8.6521	2.0838	1.0419	2.0838
	33.2400	2.7662	8.6524	2.0853	1.0427	2.0853
	33.2600	2.7678	8.6530	2.0869	1.0435	2.0869
	33.2800	2.7694	8.6529	2.0886	1.0443	2.0886
	33.3000	2.7712	8.6543	2.0902	1.0451	2.0902
	33.3200	2.7728	8.6564	2.0918	1.0459	2.0918
	33.3400	2.7745	8.6570	2.0934	1.0467	2.0934
	33.3600	2.7762	8.6580	2.0950	1.0475	2.0950
	33.3800	2.7778	8.6590	2.0967	1.0483	2.0967
	33.4000	2.7795	8.6597	2.0983	1.0491	2.0983
	33.4200	2.7811	8.6606	2.0999	1.0499	2.0999
	33.4400	2.7827	8.6606	2.1015	1.0508	2.1015
	33.4600	2.7846	8.6615	2.1031	1.0515	2.1031
	33.4800	2.7863	8.6649	2.1048	1.0524	2.1048
	33.5000	2.7879	8.6669	2.1065	1.0532	2.1065
	33.5200	2.7895	8.6670	2.1081	1.0540	2.1081
	33.5400	2.7911	8.6669	2.1097	1.0549	2.1097
	33.5600	2.7927	8.6662	2.1113	1.0557	2.1113
	33.5800	2.7943	8.6661	2.1129	1.0565	2.1129
	33.6000	2.7960	8.6665	2.1145	1.0573	2.1145
	33.6200	2.7978	8.6677	2.1161	1.0580	2.1161
	33.6400	2.7997	8.6713	2.1178	1.0589	2.1178
	33.6600	2.8012	8.6742	2.1195	1.0598	2.1195
	33.6800	2.8028	8.6741	2.1211	1.0605	2.1211
	33.7000	2.8044	8.6736	2.1227	1.0614	2.1227
	33.7200	2.8061	8.6732	2.1243	1.0622	2.1243
	33.7400	2.8078	8.6732	2.1259	1.0630	2.1259
	33.7600	2.8095	8.6746	2.1276	1.0638	2.1276
	33.7800	2.8112	8.6761	2.1292	1.0646	2.1292
	33.8000	2.8130	8.6784	2.1308	1.0654	2.1308
	33.8200	2.8145	8.6804	2.1325	1.0663	2.1325
	33.8400	2.8161	8.6799	2.1341	1.0671	2.1341
	33.8600	2.8178	8.6790	2.1357	1.0679	2.1357
	33.8800	2.8195	8.6797	2.1373	1.0687	2.1373
	33.9000	2.8212	8.6812	2.1390	1.0695	2.1390
	33.9200	2.8229	8.6832	2.1406	1.0703	2.1406
	33.9400	2.8245	8.6842	2.1423	1.0711	2.1423
	33.9600	2.8262	8.6840	2.1439	1.0720	2.1439
	33.9800	2.8279	8.6849	2.1455	1.0728	2.1455
	34.0000	2.8295	8.6860	2.1471	1.0736	2.1471
	34.0200	2.8312	8.6861	2.1488	1.0744	2.1488
	34.0400	2.8329	8.6875	2.1504	1.0752	2.1504
	34.0600	2.8346	8.6890	2.1521	1.0760	2.1521
	34.0800	2.8363	8.6901	2.1537	1.0769	2.1537
	34.1000	2.8378	8.6906	2.1554	1.0777	2.1554
	34.1200	2.8395	8.6897	2.1569	1.0785	2.1569
	34.1400	2.8414	8.6908	2.1586	1.0793	2.1586
	34.1600	2.8430	8.6935	2.1602	1.0801	2.1602
	34.1800	2.8447	8.6946	2.1618	1.0809	2.1618
	34.2000	2.8464	8.6953	2.1635	1.0817	2.1635
	34.2200	2.8479	8.6955	2.1651	1.0826	2.1651
	34.2400	2.8495	8.6948	2.1667	1.0834	2.1667
	34.2600	2.8510	8.6941	2.1683	1.0842	2.1683
	34.2800	2.8526	8.6931	2.1699	1.0849	2.1699
	34.3000	2.8544	8.6934	2.1714	1.0857	2.1714
	34.3200	2.8562	8.6967	2.1731	1.0866	2.1731
	34.3400	2.8577	8.6993	2.1747	1.0874	2.1747
	34.3600	2.8594	8.6999	2.1764	1.0882	2.1764
	34.3800	2.8611	8.7005	2.1780	1.0890	2.1780
	34.4000	2.8627	8.7008	2.1796	1.0898	2.1796
	34.4200	2.8644	8.7013	2.1812	1.0906	2.1812
	34.4400	2.8661	8.7023	2.1829	1.0914	2.1829
	34.4600	2.8679	8.7035	2.1845	1.0922	2.1845
	34.4800	2.8697	8.7063	2.1861	1.0931	2.1861
	34.5000	2.8712	8.7088	2.1878	1.0939	2.1878
	34.5200	2.8728	8.7084	2.1894	1.0947	2.1894
	34.5400	2.8745	8.7082	2.1910	1.0955	2.1910
	34.5600	2.8761	8.7084	2.1926	1.0963	2.1926
	34.5800	2.8778	8.7086	2.1942	1.0971	2.1942
	34.6000	2.8794	8.7092	2.1959	1.0979	2.1959
	34.6200	2.8810	8.7095	2.1975	1.0987	2.1975
	34.6400	2.8829	8.7104	2.1991	1.0995	2.1991
	34.6600	2.8845	8.7128	2.2007	1.1004	2.2007
	34.6800	2.8861	8.7141	2.2024	1.1012	2.2024
	34.7000	2.8879	8.7146	2.2040	1.1020	2.2040
	34.7200	2.8895	8.7154	2.2057	1.1028	2.2057
	34.7400	2.8911	8.7157	2.2073	1.1036	2.2073
	34.7600	2.8928	8.7161	2.2089	1.1044	2.2089
	34.7800	2.8943	8.7162	2.2105	1.1052	2.2105
	34.8000	2.8961	8.7161	2.2121	1.1060	2.2121
	34.8200	2.8980	8.7185	2.2137	1.1069	2.2137
	34.8400	2.8995	8.7214	2.2154	1.1077	2.2154
	34.8600	2.9012	8.7221	2.2170	1.1085	2.2170
	34.8800	2.9028	8.7221	2.2186	1.1093	2.2186
	34.9000	2.9044	8.7219	2.2202	1.1101	2.2202
	34.9200	2.9061	8.7219	2.2218	1.1109	2.2218
	34.9400	2.9077	8.7225	2.2234	1.1117	2.2234
	34.9600	2.9094	8.7232	2.2251	1.1125	2.2251
	34.9800	2.9114	8.7253	2.2267	1.1133	2.2267
	35.0000	2.9130	8.7291	2.2284	1.1142	2.2284
	35.0200	2.9145	8.7299	2.2300	1.1150	2.2300
	35.0400	2.9162	8.7291	2.2316	1.1158	2.2316
	35.0600	2.9178	8.7286	2.2333	1.1166	2.2333
	35.0800	2.9195	8.7287	2.2349	1.1174	2.2349
	35.1000	2.9212	8.7299	2.2365	1.1182	2.2365
	35.1200	2.9229	8.7314	2.2381	1.1190	2.2381
	35.1400	2.9248	8.7332	2.2397	1.1199	2.2397
	35.1600	2.9265	8.7362	2.2414	1.1207	2.2414
	35.1800	2.9279	8.7367	2.2431	1.1216	2.2431
	35.2000	2.9296	8.7350	2.2447	1.1224	2.2447
	35.2200	2.9312	8.7345	2.2463	1.1232	2.2463
	35.2400	2.9329	8.7349	2.2479	1.1240	2.2479
	35.2600	2.9346	8.7357	2.2495	1.1248	2.2495
	35.2800	2.9362	8.7370	2.2511	1.1256	2.2511
	35.3000	2.9378	8.7370	2.2527	1.1264	2.2527
	35.3200	2.9395	8.7374	2.2543	1.1272	2.2543
	35.3400	2.9411	8.7387	2.2560	1.1280	2.2560
	35.3600	2.9427	8.7390	2.2576	1.1288	2.2576
	35.3800	2.9445	8.7396	2.2591	1.1296	2.2591
	35.4000	2.9462	8.7414	2.2608	1.1304	2.2608
	35.4200	2.9479	8.7429	2.2624	1.1312	2.2624
	35.4400	2.9495	8.7443	2.2640	1.1320	2.2640
	35.4600	2.9510	8.7444	2.2657	1.1328	2.2657
	35.4800	2.9529	8.7440	2.2672	1.1336	2.2672
	35.5000	2.9546	8.7464	2.2688	1.1344	2.2688
	35.5200	2.9562	8.7486	2.2705	1.1352	2.2705
	35.5400	2.9579	8.7491	2.2721	1.1361	2.2721
	35.5600	2.9595	8.7497	2.2738	1.1369	2.2738
	35.5800	2.9611	8.7497	2.2754	1.1377	2.2754
	35.6000	2.9627	8.7494	2.2770	1.1385	2.2770
	35.6200	2.9643	8.7492	2.2786	1.1393	2.2786
	35.6400	2.9660	8.7488	2.2801	1.1401	2.2801
	35.6600	2.9679	8.7509	2.2817	1.1409	2.2817
	35.6800	2.9695	8.7546	2.2834	1.1417	2.2834
	35.7000	2.9712	8.7559	2.2851	1.1425	2.2851
	35.7200	2.9728	8.7560	2.2867	1.1433	2.2867
	35.7400	2.9744	8.7559	2.2883	1.1441	2.2883
	35.7600	2.9760	8.7557	2.2898	1.1449	2.2898
	35.7800	2.9777	8.7562	2.2914	1.1457	2.2914
	35.8000	2.9794	8.7570	2.2931	1.1465	2.2931
	35.8200	2.9812	8.7585	2.2947	1.1473	2.2947
	35.8400	2.9829	8.7616	2.2964	1.1482	2.2964
	35.8600	2.9844	8.7627	2.2980	1.1490	2.2980
	35.8800	2.9861	8.7620	2.2996	1.1498	2.2996
	35.9000	2.9878	8.7622	2.3013	1.1506	2.3013
	35.9200	2.9895	8.7628	2.3028	1.1514	2.3028
	35.9400	2.9912	8.7638	2.3044	1.1522	2.3044
	35.9600	2.9927	8.7649	2.3061	1.1531	2.3061
	35.9800	2.9945	8.7650	2.3077	1.1538	2.3077
	36.0000	2.9963	8.7664	2.3093	1.1547	2.3093
	36.0200	2.9979	8.7686	2.3110	1.1555	2.3110
	36.0400	2.9996	8.7693	2.3126	1.1563	2.3126
	36.0600	3.0013	8.7701	2.3142	1.1571	2.3142
	36.0800	3.0029	8.7712	2.3158	1.1579	2.3158
	36.1000	3.0046	8.7719	2.3174	1.1587	2.3174
	36.1200	3.0062	8.7723	2.3191	1.1595	2.3191
	36.1400	3.0078	8.7717	2.3207	1.1603	2.3207
	36.1600	3.0097	8.7723	2.3223	1.1611	2.3223
	36.1800	3.0114	8.7756	2.3240	1.1620	2.3240
	36.2000	3.0130	8.7774	2.3256	1.1628	2.3256
	36.2200	3.0147	8.7776	2.3272	1.1636	2.3272
	36.2400	3.0162	8.7774	2.3289	1.1644	2.3289
	36.2600	3.0178	8.7764	2.3304	1.1652	2.3304
	36.2800	3.0194	8.7757	2.3320	1.1660	2.3320
	36.3000	3.0210	8.7756	2.3336	1.1668	2.3336
	36.3200	3.0228	8.7759	2.3352	1.1676	2.3352
	36.3400	3.0246	8.7788	2.3368	1.1684	2.3368
	36.3600	3.0261	8.7821	2.3385	1.1693	2.3385
	36.3800	3.0278	8.7824	2.3401	1.1701	2.3401
	36.4000	3.0294	8.7821	2.3418	1.1709	2.3418
	36.4200	3.0310	8.7818	2.3433	1.1717	2.3433
	36.4400	3.0327	8.7822	2.3449	1.1725	2.3449
	36.4600	3.0344	8.7840	2.3465	1.1733	2.3465
	36.4800	3.0362	8.7858	2.3482	1.1741	2.3482
	36.5000	3.0380	8.7883	2.3498	1.1749	2.3498
	36.5200	3.0396	8.7911	2.3515	1.1758	2.3515
	36.5400	3.0411	8.7906	2.3532	1.1766	2.3532
	36.5600	3.0427	8.7892	2.3548	1.1774	2.3548
	36.5800	3.0444	8.7887	2.3563	1.1782	2.3563
	36.6000	3.0461	8.7892	2.3580	1.1790	2.3580
	36.6200	3.0477	8.7907	2.3596	1.1798	2.3596
	36.6400	3.0493	8.7917	2.3612	1.1806	2.3612
	36.6600	3.0511	8.7920	2.3628	1.1814	2.3628
	36.6800	3.0528	8.7937	2.3644	1.1822	2.3644
	36.7000	3.0544	8.7954	2.3660	1.1830	2.3660
	36.7200	3.0561	8.7959	2.3677	1.1838	2.3677
	36.7400	3.0579	8.7973	2.3693	1.1847	2.3693
	36.7600	3.0595	8.7988	2.3710	1.1855	2.3710
	36.7800	3.0612	8.7999	2.3726	1.1863	2.3726
	36.8000	3.0628	8.8004	2.3743	1.1871	2.3743
	36.8200	3.0644	8.7994	2.3759	1.1879	2.3759
	36.8400	3.0663	8.7997	2.3775	1.1887	2.3775
	36.8600	3.0679	8.8024	2.3791	1.1896	2.3791
	36.8800	3.0696	8.8036	2.3808	1.1904	2.3808
	36.9000	3.0713	8.8042	2.3824	1.1912	2.3824
	36.9200	3.0729	8.8049	2.3841	1.1920	2.3841
	36.9400	3.0745	8.8050	2.3857	1.1928	2.3857
	36.9600	3.0761	8.8048	2.3873	1.1936	2.3873
	36.9800	3.0777	8.8043	2.3888	1.1944	2.3888
	37.0000	3.0795	8.8046	2.3905	1.1952	2.3905
	37.0200	3.0813	8.8079	2.3921	1.1961	2.3921
	37.0400	3.0829	8.8103	2.3938	1.1969	2.3938
	37.0600	3.0846	8.8106	2.3954	1.1977	2.3954
	37.0800	3.0862	8.8110	2.3970	1.1985	2.3970
	37.1000	3.0878	8.8111	2.3986	1.1993	2.3986
	37.1200	3.0895	8.8115	2.4002	1.2001	2.4002
	37.1400	3.0912	8.8125	2.4018	1.2009	2.4018
	37.1600	3.0930	8.8138	2.4035	1.2017	2.4035
	37.1800	3.0948	8.8164	2.4051	1.2026	2.4051
	37.2000	3.0963	8.8185	2.4069	1.2034	2.4069
	37.2200	3.0979	8.8177	2.4085	1.2042	2.4085
	37.2400	3.0996	8.8173	2.4100	1.2050	2.4100
	37.2600	3.1012	8.8174	2.4117	1.2058	2.4117
	37.2800	3.1028	8.8174	2.4132	1.2066	2.4132
	37.3000	3.1044	8.8182	2.4148	1.2074	2.4148
	37.3200	3.1060	8.8182	2.4165	1.2082	2.4165
	37.3400	3.1078	8.8179	2.4181	1.2090	2.4181
	37.3600	3.1095	8.8197	2.4197	1.2098	2.4197
	37.3800	3.1111	8.8213	2.4213	1.2107	2.4213
	37.4000	3.1128	8.8223	2.4229	1.2114	2.4229
	37.4200	3.1145	8.8239	2.4245	1.2123	2.4245
	37.4400	3.1162	8.8250	2.4261	1.2131	2.4261
	37.4600	3.1178	8.8258	2.4278	1.2139	2.4278
	37.4800	3.1194	8.8260	2.4294	1.2147	2.4294
	37.5000	3.1212	8.8257	2.4310	1.2155	2.4310
	37.5200	3.1230	8.8280	2.4326	1.2163	2.4326
	37.5400	3.1246	8.8312	2.4343	1.2172	2.4343
	37.5600	3.1263	8.8318	2.4360	1.2180	2.4360
	37.5800	3.1279	8.8318	2.4376	1.2188	2.4376
	37.6000	3.1295	8.8312	2.4392	1.2196	2.4392
	37.6200	3.1311	8.8306	2.4408	1.2204	2.4408
	37.6400	3.1327	8.8305	2.4423	1.2212	2.4423
	37.6600	3.1344	8.8306	2.4440	1.2220	2.4440
	37.6800	3.1363	8.8329	2.4456	1.2228	2.4456
	37.7000	3.1380	8.8369	2.4473	1.2236	2.4473
	37.7200	3.1395	8.8379	2.4489	1.2245	2.4489
	37.7400	3.1412	8.8372	2.4505	1.2253	2.4505
	37.7600	3.1427	8.8365	2.4521	1.2261	2.4521
	37.7800	3.1443	8.8357	2.4537	1.2268	2.4537
	37.8000	3.1460	8.8363	2.4552	1.2276	2.4552
	37.8200	3.1477	8.8379	2.4568	1.2284	2.4568
	37.8400	3.1496	8.8398	2.4585	1.2292	2.4585
	37.8600	3.1513	8.8429	2.4602	1.2301	2.4602
	37.8800	3.1528	8.8441	2.4618	1.2309	2.4618
	37.9000	3.1544	8.8430	2.4634	1.2317	2.4634
	37.9200	3.1561	8.8428	2.4650	1.2325	2.4650
	37.9400	3.1578	8.8435	2.4666	1.2333	2.4666
	37.9600	3.1595	8.8449	2.4682	1.2341	2.4682
	37.9800	3.1611	8.8468	2.4699	1.2349	2.4699
	38.0000	3.1628	8.8473	2.4715	1.2358	2.4715
	38.0200	3.1646	8.8480	2.4731	1.2366	2.4731
	38.0400	3.1662	8.8495	2.4748	1.2374	2.4748
	38.0600	3.1678	8.8497	2.4764	1.2382	2.4764
	38.0800	3.1696	8.8501	2.4780	1.2390	2.4780
	38.1000	3.1713	8.8517	2.4797	1.2398	2.4797
	38.1200	3.1730	8.8532	2.4813	1.2406	2.4813
	38.1400	3.1746	8.8546	2.4829	1.2415	2.4829
	38.1600	3.1762	8.8543	2.4846	1.2423	2.4846
	38.1800	3.1781	8.8543	2.4861	1.2431	2.4861
	38.2000	3.1798	8.8568	2.4878	1.2439	2.4878
	38.2200	3.1814	8.8582	2.4895	1.2447	2.4895
	38.2400	3.1831	8.8583	2.4911	1.2455	2.4911
	38.2600	3.1847	8.8587	2.4927	1.2464	2.4927
	38.2800	3.1863	8.8584	2.4943	1.2472	2.4943
	38.3000	3.1879	8.8579	2.4959	1.2480	2.4959
	38.3200	3.1894	8.8572	2.4975	1.2487	2.4975
	38.3400	3.1911	8.8567	2.4990	1.2495	2.4990
	38.3600	3.1930	8.8586	2.5007	1.2503	2.5007
	38.3800	3.1945	8.8615	2.5023	1.2511	2.5023
	38.4000	3.1962	8.8622	2.5039	1.2520	2.5039
	38.4200	3.1978	8.8624	2.5055	1.2528	2.5055
	38.4400	3.1994	8.8627	2.5071	1.2536	2.5071
	38.4600	3.2011	8.8630	2.5087	1.2544	2.5087
	38.4800	3.2028	8.8642	2.5103	1.2552	2.5103
	38.5000	3.2045	8.8654	2.5119	1.2560	2.5119
	38.5200	3.2063	8.8671	2.5136	1.2568	2.5136
	38.5400	3.2080	8.8701	2.5152	1.2576	2.5152
	38.5600	3.2095	8.8708	2.5169	1.2585	2.5169
	38.5800	3.2112	8.8702	2.5185	1.2593	2.5185
	38.6000	3.2128	8.8705	2.5201	1.2600	2.5201
	38.6200	3.2145	8.8705	2.5217	1.2608	2.5217
	38.6400	3.2161	8.8711	2.5233	1.2616	2.5233
	38.6600	3.2177	8.8717	2.5249	1.2624	2.5249
	38.6800	3.2194	8.8715	2.5265	1.2632	2.5265
	38.7000	3.2212	8.8732	2.5280	1.2640	2.5280
	38.7200	3.2228	8.8753	2.5297	1.2648	2.5297
	38.7400	3.2245	8.8761	2.5313	1.2657	2.5313
	38.7600	3.2262	8.8773	2.5330	1.2665	2.5330
	38.7800	3.2278	8.8780	2.5346	1.2673	2.5346
	38.8000	3.2294	8.8783	2.5362	1.2681	2.5362
	38.8200	3.2310	8.8785	2.5378	1.2689	2.5378
	38.8400	3.2326	8.8781	2.5394	1.2697	2.5394
	38.8600	3.2345	8.8790	2.5410	1.2705	2.5410
	38.8800	3.2363	8.8824	2.5426	1.2713	2.5426
	38.9000	3.2379	8.8847	2.5443	1.2722	2.5443
	38.9200	3.2396	8.8851	2.5459	1.2730	2.5459
	38.9400	3.2412	8.8851	2.5476	1.2738	2.5476
	38.9600	3.2428	8.8848	2.5492	1.2746	2.5492
	38.9800	3.2444	8.8846	2.5507	1.2754	2.5507
	39.0000	3.2460	8.8847	2.5523	1.2762	2.5523
	39.0200	3.2479	8.8855	2.5539	1.2770	2.5539
	39.0400	3.2498	8.8890	2.5556	1.2778	2.5556
	39.0600	3.2513	8.8918	2.5573	1.2786	2.5573
	39.0800	3.2530	8.8915	2.5589	1.2794	2.5589
	39.1000	3.2546	8.8908	2.5605	1.2803	2.5605
	39.1200	3.2562	8.8902	2.5621	1.2810	2.5621
	39.1400	3.2579	8.8901	2.5637	1.2818	2.5637
	39.1600	3.2596	8.8914	2.5653	1.2826	2.5653
	39.1800	3.2614	8.8930	2.5669	1.2835	2.5669
	39.2000	3.2632	8.8957	2.5686	1.2843	2.5686
	39.2200	3.2647	8.8980	2.5703	1.2851	2.5703
	39.2400	3.2662	8.8969	2.5719	1.2860	2.5719
	39.2600	3.2679	8.8956	2.5735	1.2867	2.5735
	39.2800	3.2695	8.8953	2.5750	1.2875	2.5750
	39.3000	3.2712	8.8956	2.5766	1.2883	2.5766
	39.3200	3.2729	8.8971	2.5782	1.2891	2.5782
	39.3400	3.2744	8.8979	2.5798	1.2899	2.5798
	39.3600	3.2761	8.8981	2.5814	1.2907	2.5814
	39.3800	3.2778	8.8994	2.5830	1.2915	2.5830
	39.4000	3.2794	8.9004	2.5846	1.2923	2.5846
	39.4200	3.2811	8.9002	2.5862	1.2931	2.5862
	39.4400	3.2828	8.9013	2.5878	1.2939	2.5878
	39.4600	3.2845	8.9029	2.5895	1.2947	2.5895
	39.4800	3.2862	8.9044	2.5911	1.2955	2.5911
	39.5000	3.2877	8.9054	2.5927	1.2963	2.5927
	39.5200	3.2894	8.9048	2.5943	1.2971	2.5943
	39.5400	3.2912	8.9057	2.5958	1.2979	2.5958
	39.5600	3.2929	8.9087	2.5975	1.2987	2.5975
	39.5800	3.2945	8.9098	2.5991	1.2996	2.5991
	39.6000	3.2962	8.9102	2.6007	1.3004	2.6007
	39.6200	3.2978	8.9107	2.6024	1.3012	2.6024
	39.6400	3.2994	8.9107	2.6040	1.3020	2.6040
	39.6600	3.3010	8.9107	2.6055	1.3028	2.6055
	39.6800	3.3026	8.9105	2.6071	1.3035	2.6071
	39.7000	3.3045	8.9110	2.6087	1.3043	2.6087
	39.7200	3.3063	8.9142	2.6104	1.3052	2.6104
	39.7400	3.3078	8.9167	2.6120	1.3060	2.6120
	39.7600	3.3095	8.9171	2.6137	1.3068	2.6137
	39.7800	3.3111	8.9172	2.6153	1.3076	2.6153
	39.8000	3.3127	8.9169	2.6168	1.3084	2.6168
	39.8200	3.3144	8.9167	2.6184	1.3092	2.6184
	39.8400	3.3161	8.9174	2.6200	1.3100	2.6200
	39.8600	3.3178	8.9182	2.6216	1.3108	2.6216
	39.8800	3.3196	8.9206	2.6232	1.3116	2.6232
	39.9000	3.3212	8.9229	2.6249	1.3124	2.6249
	39.9200	3.3228	8.9226	2.6265	1.3132	2.6265
	39.9400	3.3245	8.9224	2.6281	1.3141	2.6281
	39.9600	3.3261	8.9229	2.6297	1.3149	2.6297
	39.9800	3.3278	8.9235	2.6313	1.3157	2.6313
	40.0000	3.3294	8.9248	2.6329	1.3165	2.6329
	40.0200	3.3310	8.9253	2.6345	1.3173	2.6345
	40.0400	3.3328	8.9255	2.6361	1.3181	2.6361
	40.0600	3.3345	8.9277	2.6378	1.3189	2.6378
	40.0800	3.3361	8.9291	2.6394	1.3197	2.6394
	40.1000	3.3379	8.9295	2.6410	1.3205	2.6410
	40.1200	3.3395	8.9305	2.6426	1.3213	2.6426
