True Plastic Strain (-)	 True Stress (MPa)
0.169	417.22064424268600
0.17	417.4047656481060
0.171	417.5859050877030
0.17200000000000000	417.7641108563510
0.17300000000000000	417.9394304667580
0.17400000000000000	418.11191066213200
0.17500000000000000	418.2815974286470
0.176	418.4485360076960
0.177	418.61277090796200
0.178	418.7743459172810
0.179	418.9333041143140
0.18	419.08968788003800
0.181	419.2435389090410
0.182	419.39489822064000
0.183	419.5438061698180
0.184	419.69030245798200
0.185	419.8344261435490
0.186	419.9762156523620
0.187	420.1157087879290
0.188	420.25294274150700
0.189	420.3879541020180
0.19	420.5207788657990
0.191	420.6514524462080
0.192	420.7800096830550
0.193	420.9064848519010
0.194	421.0309116731900
0.195	421.15332332124200
0.196	421.27375243309700
0.197	421.3922311172180
0.198	421.50879096204900
0.199	421.62346304444000
0.2	421.73627793792900
0.201	421.8472657209000
0.202	421.95645598459200
0.203	422.0638778410010
0.20400000000000000	422.1695599306300
0.20500000000000000	422.27353043013400
0.20600000000000000	422.37581705982700
0.20700000000000000	422.47644709107500
0.20800000000000000	422.57544735356700
0.209	422.67284424246600
0.21	422.76866372545100
0.211	422.8629313496340
0.212	422.95567224837800
0.213	423.0469111479940
0.214	423.1366723743340
0.215	423.224979859276
0.216	423.3118571471080
0.217	423.3973274008010
0.218	423.4814134081870
0.219	423.5641375880350
0.22	423.6455219960280
0.221	423.7255883306400
0.222	423.80435793892800
0.223	423.88185182221600
0.224	423.9580906417
0.225	424.0330947239540
0.226	424.1068840663510
0.227	424.17947834239000
0.228	424.25089690695000
0.229	424.32115880144100
0.23	424.39028275888700
0.231	424.4582872089170
0.232	424.52519028268300
0.233	424.5910098176880
0.234	424.6557633625460
0.23500000000000000	424.71946818166200
0.23600000000000000	424.78214125983
0.23700000000000000	424.843799306765
0.23800000000000000	424.90445876155800
0.23900000000000000	424.9641357970570
0.24	425.0228463241820
0.241	425.0806059961630
0.242	425.1374302127180
0.243	425.19333412415500
0.244	425.24833263541400
0.245	425.3024404100390
0.246	425.35567187408900
0.247	425.4080412199820
0.248	425.45956241028400
0.249	425.5102491814250
0.25	425.560115047365
0.251	425.609173303198
0.252	425.6574370286940
0.253	425.7049190917890
0.254	425.75163215201300
0.255	425.7975886638680
0.256	425.8428008801450
0.257	425.8872808551960
0.258	425.9310404481420
0.259	425.9740913260420
0.26	426.01644496699400
0.261	426.05811266320500
0.262	426.0991055239960
0.263	426.1394344787650
0.264	426.1791102799010
0.265	426.21814350565200
0.266	426.25654456294400
0.267	426.29432369015500
0.268	426.3314909598490
0.269	426.3680562814540
0.27	426.4040294039120
0.271	426.4394199182720
0.272	426.47423726025200
0.273	426.50849071275000
0.274	426.54218940832300
0.275	426.57534233162100
0.276	426.607958321779
0.277	426.6400460747790
0.278	426.67161414576500
0.279	426.7026709513250
0.28	426.7332247717350
0.281	426.7632837531660
0.28200000000000000	426.79285590985700
0.28300000000000000	426.8219491262520
0.28400000000000000	426.8505711590990
0.28500000000000000	426.8787296395220
0.28600000000000000	426.9064320750540
0.28700000000000000	426.93368585163900
0.28800000000000000	426.9604982355990
0.289	426.98687637557600
0.29	427.01282730443200
0.291	427.0383579411300
0.292	427.0634750925730
0.293	427.08818545542600
0.294	427.1124956178920
0.295	427.1364120614780
0.296	427.1599411627160
0.297	427.1830891948680
0.298	427.20586232959500
0.299	427.2282666386050
0.3	427.2503080952690
0.301	427.2719925762180
0.302	427.293325862905
0.303	427.3143136431490
0.304	427.3349615126530
0.305	427.3552749764900
0.306	427.37525945057800
0.307	427.3949202631210
0.308	427.4142626560270
0.309	427.4332917863080
0.31	427.45201272745800
0.311	427.47043047079900
0.312	427.488549926816
0.313	427.5063759264670
0.314	427.5239132224690
0.315	427.541166490564
0.316	427.5581403307690
0.317	427.57483926860100
0.318	427.5912677562820
0.319	427.6074301739280
0.32	427.62333083071500
0.321	427.6389739660330
0.322	427.6543637506070
0.323	427.66950428761800
0.324	427.6843996137920
0.325	427.6990537004780
0.326	427.7134704547060
0.327	427.72765372023000
0.328	427.7416072785510
0.329	427.75533484992600
0.33	427.7688400943620
0.331	427.782126612586
0.332	427.7951979470130
0.333	427.8080575826830
0.334	427.8207089481970
0.335	427.8331554166230
0.336	427.8454003064050
0.337	427.8574468822380
0.338	427.86929835594600
0.339	427.8809578873350
0.34	427.89242858503600
0.341	427.9037135073330
0.342	427.91481566297900
0.343	427.92573801199800
0.34400000000000000	427.93648346647700
0.34500000000000000	427.9470548913370
0.34600000000000000	427.9574551051010
0.34700000000000000	427.9676868806440
0.34800000000000000	427.97775294593200
0.34900000000000000	427.98765598475100
0.35000000000000000	427.99739863742000
0.35100000000000000	428.0069835014970
0.352	428.0164131324710
0.353	428.0256900444430
0.354	428.03481671079700
0.355	428.0437955648570
0.356	428.0526290005410
0.357	428.0613193729920
0.358	428.06986899921400
0.359	428.078280158683
0.36	428.0865550939580
0.361	428.0946960112780
0.362	428.1027050811510
0.363	428.1105844389320
0.364	428.1183361853930
0.365	428.12596238728200
0.366	428.13346507787500
0.367	428.14084625751800
0.368	428.14810789416000
0.369	428.1552519238770
0.37	428.1622802513900
0.371	428.1691947505700
0.372	428.17599726494300
0.373	428.1826896081740
0.374	428.18927356455800
0.375	428.1957508894890
0.376	428.20212330993200
0.377	428.20839252488600
0.378	428.2145602058280
0.379	428.2206279971700
0.38	428.22659751668700
0.381	428.23247035595500
0.382	428.2382480807760
0.383	428.24393223158700
0.384	428.24952432388200
0.385	428.255025848608
0.386	428.26043827256500
0.387	428.26576303879900
0.388	428.27100156698400
0.389	428.2761552537990
0.39	428.28122547330700
0.391	428.2862135773160
0.392	428.2911208957370
0.393	428.29594873694800
0.394	428.30069838813300
0.395	428.30537111563000
0.396	428.3099681652680
0.397	428.3144907626990
0.398	428.31894011372600
0.399	428.3233174046220
0.4	428.3276238024460
0.401	428.3318604553590
0.402	428.3360284929250
0.403	428.34012902641300
0.404	428.34416314909700
0.405	428.34813193654200
0.406	428.3520364468940
0.40700000000000000	428.35587772116400
0.40800000000000000	428.3596567835010
0.40900000000000000	428.3633746414680
0.41000000000000000	428.3670322863080
0.41100000000000000	428.37063069321300
0.41200000000000000	428.3741708215790
0.41300000000000000	428.3776536152660
0.41400000000000000	428.3810800028450
0.41500000000000000	428.3844508978510
0.41600000000000000	428.3877671990210
0.417	428.39102979053900
0.418	428.3942395422670
0.419	428.3973973099790
0.42	428.40050393559100
0.421	428.40356024738200
0.422	428.40656706021700
0.423	428.4095251757650
0.424	428.4124353827080
0.425	428.41529845695900
0.426	428.41811516186100
0.427	428.42088624839700
0.428	428.42361245538600
0.429	428.42629450968100
0.43	428.4289331263630
0.431	428.43152900893300
0.432	428.43408284949800
0.433	428.4365953289550
0.434	428.43906711717500
0.435	428.44149887317700
0.436	428.4438912453110
0.437	428.4462448714240
0.438	428.4485603790320
0.439	428.45083838548900
0.44	428.453079498151
0.441	428.4552843145370
0.442	428.4574534224890
0.443	428.45958740032800
0.444	428.4616868170090
0.445	428.46375223227200
0.446	428.46578419679200
0.447	428.4677832523270
0.448	428.4697499318580
0.449	428.47168475973600
0.45	428.47358825181900
