t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
77.135,-356242,-355949,-427.616666667,0.685
77.309,-356243,-355949,-427.616666667,0.688
77.483,-356148,-355949,-427.616666667,0.465
77.636,-356166,-355949,-427.616666667,0.507
77.798,-356042,-355949,-427.616666667,0.217
77.982,-356342,-355949,-427.616666667,0.919
78.129,-355955,-355949,-427.616666667,0.014
78.314,-356089,-355949,-427.616666667,0.327
78.473,-356186,-355949,-427.616666667,0.554
78.628,-356038,-355949,-427.616666667,0.208
78.816,-356331,-355949,-427.616666667,0.893
78.990,-356286,-355949,-427.616666667,0.788
79.174,-356027,-355949,-427.616666667,0.182
79.354,-356108,-355949,-427.616666667,0.372
79.530,-356192,-355949,-427.616666667,0.568
79.698,-356223,-355949,-427.616666667,0.641
79.873,-356129,-355949,-427.616666667,0.421
80.054,-355928,-355949,-427.616666667,-0.049
80.220,-356209,-355949,-427.616666667,0.608
80.383,-355942,-355949,-427.616666667,-0.016
80.564,-356211,-355949,-427.616666667,0.613
80.710,-356173,-355949,-427.616666667,0.524
80.883,-356149,-355949,-427.616666667,0.468
81.041,-356149,-355949,-427.616666667,0.468
81.213,-356104,-355949,-427.616666667,0.362
81.388,-356045,-355949,-427.616666667,0.225
81.569,-356253,-355949,-427.616666667,0.711
81.727,-356232,-355949,-427.616666667,0.662
81.904,-355978,-355949,-427.616666667,0.068
82.077,-356052,-355949,-427.616666667,0.241
82.262,-356312,-355949,-427.616666667,0.849
82.433,-356064,-355949,-427.616666667,0.269
82.591,-356089,-355949,-427.616666667,0.327
82.749,-356226,-355949,-427.616666667,0.648
82.916,-356361,-355949,-427.616666667,0.963
83.065,-356239,-355949,-427.616666667,0.678
83.225,-355918,-355949,-427.616666667,-0.072
83.384,-356181,-355949,-427.616666667,0.543
83.539,-356120,-355949,-427.616666667,0.400
83.721,-356033,-355949,-427.616666667,0.196
83.911,-356100,-355949,-427.616666667,0.353
84.096,-356382,-355949,-427.616666667,1.013
84.262,-356086,-355949,-427.616666667,0.320
84.428,-356182,-355949,-427.616666667,0.545
