t_s,raw_counts,offset_counts,scale_counts_per_g,net_mass_g
35.017,131905,-355949,-427.616666667,-1140.868
35.202,144211,-355949,-427.616666667,-1169.646
35.402,148809,-355949,-427.616666667,-1180.398
35.578,152422,-355949,-427.616666667,-1188.847
35.742,167594,-355949,-427.616666667,-1224.328
35.920,183486,-355949,-427.616666667,-1261.492
36.097,193075,-355949,-427.616666667,-1283.916
36.280,207740,-355949,-427.616666667,-1318.211
36.444,221407,-355949,-427.616666667,-1350.172
36.629,234112,-355949,-427.616666667,-1379.883
36.821,248029,-355949,-427.616666667,-1412.429
37.001,259928,-355949,-427.616666667,-1440.255
37.212,260541,-355949,-427.616666667,-1441.688
37.398,280156,-355949,-427.616666667,-1487.559
37.562,294664,-355949,-427.616666667,-1521.487
37.760,308590,-355949,-427.616666667,-1554.053
37.959,317565,-355949,-427.616666667,-1575.042
38.146,332340,-355949,-427.616666667,-1609.593
38.347,349359,-355949,-427.616666667,-1649.393
38.524,363742,-355949,-427.616666667,-1683.028
38.706,378455,-355949,-427.616666667,-1717.435
38.884,393202,-355949,-427.616666667,-1751.922
39.057,407226,-355949,-427.616666667,-1784.718
39.237,395060,-355949,-427.616666667,-1756.267
39.403,412250,-355949,-427.616666667,-1796.466
39.598,433154,-355949,-427.616666667,-1845.351
39.787,451990,-355949,-427.616666667,-1889.400
39.966,467573,-355949,-427.616666667,-1925.842
40.155,484677,-355949,-427.616666667,-1965.840
40.340,499990,-355949,-427.616666667,-2001.650
40.527,501878,-355949,-427.616666667,-2006.065
40.703,520276,-355949,-427.616666667,-2049.090
40.893,539478,-355949,-427.616666667,-2093.995
41.057,555858,-355949,-427.616666667,-2132.300
41.211,569379,-355949,-427.616666667,-2163.919
41.369,584713,-355949,-427.616666667,-2199.779
41.535,598334,-355949,-427.616666667,-2231.632
41.695,613839,-355949,-427.616666667,-2267.891
41.848,604706,-355949,-427.616666667,-2246.533
42.021,605125,-355949,-427.616666667,-2247.513
42.168,627481,-355949,-427.616666667,-2299.793
42.327,644138,-355949,-427.616666667,-2338.747
42.483,662483,-355949,-427.616666667,-2381.647
42.659,680018,-355949,-427.616666667,-2422.653
42.813,695794,-355949,-427.616666667,-2459.546
42.977,698101,-355949,-427.616666667,-2464.941
43.139,712595,-355949,-427.616666667,-2498.836
43.308,730930,-355949,-427.616666667,-2541.713
43.465,744054,-355949,-427.616666667,-2572.404
43.532,751323,-355949,-427.616666667,-2589.403
43.691,764094,-355949,-427.616666667,-2619.269
43.861,732445,-355949,-427.616666667,-2545.256
44.027,711912,-355949,-427.616666667,-2497.239
44.199,719361,-355949,-427.616666667,-2514.659
44.371,718018,-355949,-427.616666667,-2511.518
44.532,705701,-355949,-427.616666667,-2482.714
44.708,699142,-355949,-427.616666667,-2467.376
44.896,706643,-355949,-427.616666667,-2484.917
45.064,700908,-355949,-427.616666667,-2471.506
45.225,692846,-355949,-427.616666667,-2452.652
45.388,686411,-355949,-427.616666667,-2437.604
45.557,680403,-355949,-427.616666667,-2423.554
45.724,675930,-355949,-427.616666667,-2413.094
45.890,671635,-355949,-427.616666667,-2403.049
46.059,669982,-355949,-427.616666667,-2399.184
46.231,668608,-355949,-427.616666667,-2395.971
46.392,667673,-355949,-427.616666667,-2393.784
46.551,667323,-355949,-427.616666667,-2392.966
46.608,669774,-355949,-427.616666667,-2398.697
46.798,662308,-355949,-427.616666667,-2381.238
47.029,664874,-355949,-427.616666667,-2387.239
47.191,664209,-355949,-427.616666667,-2385.683
47.355,661890,-355949,-427.616666667,-2380.260
47.523,660743,-355949,-427.616666667,-2377.578
47.685,658949,-355949,-427.616666667,-2373.383
47.863,657007,-355949,-427.616666667,-2368.841
48.021,654336,-355949,-427.616666667,-2362.595
48.175,655338,-355949,-427.616666667,-2364.938
48.326,653969,-355949,-427.616666667,-2361.737
48.485,652318,-355949,-427.616666667,-2357.876
48.651,651206,-355949,-427.616666667,-2355.275
48.819,648240,-355949,-427.616666667,-2348.339
48.977,647092,-355949,-427.616666667,-2345.655
49.234,648126,-355949,-427.616666667,-2348.073
49.395,648456,-355949,-427.616666667,-2348.844
49.561,648194,-355949,-427.616666667,-2348.232
49.710,645878,-355949,-427.616666667,-2342.816
49.874,645700,-355949,-427.616666667,-2342.399
50.040,644373,-355949,-427.616666667,-2339.296
50.184,644812,-355949,-427.616666667,-2340.323
50.328,642541,-355949,-427.616666667,-2335.012
50.503,641218,-355949,-427.616666667,-2331.918
50.738,637937,-355949,-427.616666667,-2324.245
50.891,637947,-355949,-427.616666667,-2324.269
51.053,637581,-355949,-427.616666667,-2323.413
51.236,637761,-355949,-427.616666667,-2323.834
51.427,636415,-355949,-427.616666667,-2320.686
51.589,635006,-355949,-427.616666667,-2317.391
51.766,631975,-355949,-427.616666667,-2310.303
51.923,625813,-355949,-427.616666667,-2295.893
52.098,650398,-355949,-427.616666667,-2353.386
52.248,640423,-355949,-427.616666667,-2330.059
52.406,639363,-355949,-427.616666667,-2327.580
52.571,645462,-355949,-427.616666667,-2341.843
52.741,640214,-355949,-427.616666667,-2329.570
52.911,627309,-355949,-427.616666667,-2299.391
53.083,623430,-355949,-427.616666667,-2290.320
53.237,620945,-355949,-427.616666667,-2284.509
53.397,621188,-355949,-427.616666667,-2285.077
53.577,621611,-355949,-427.616666667,-2286.066
53.744,625140,-355949,-427.616666667,-2294.319
53.925,635042,-355949,-427.616666667,-2317.475
54.096,634369,-355949,-427.616666667,-2315.901
54.267,633167,-355949,-427.616666667,-2313.090
54.459,622571,-355949,-427.616666667,-2288.311
54.619,620111,-355949,-427.616666667,-2282.558
54.785,619580,-355949,-427.616666667,-2281.317
54.937,619661,-355949,-427.616666667,-2281.506
55.113,621222,-355949,-427.616666667,-2285.156
55.280,624496,-355949,-427.616666667,-2292.813
55.458,628043,-355949,-427.616666667,-2301.108
55.643,625882,-355949,-427.616666667,-2296.054
55.870,625644,-355949,-427.616666667,-2295.498
56.029,618396,-355949,-427.616666667,-2278.548
