X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Ni,0.0,27.5,0.0,9.5,4.0,59.0,58.849999999999994,593.406388607915,6.950500000000001,20,,
Ni,0.0,27.5,0.0,9.5,4.5,58.5,58.849999999999994,595.8327954791079,7.0200000000000005,20,,
Ni,0.0,27.5,0.0,9.5,5.0,58.0,58.849999999999994,598.1277481579108,7.089500000000001,20,,
Ni,0.0,27.5,0.0,9.5,5.5,57.5,58.849999999999994,600.3105462061493,7.159000000000001,20,,
Ni,0.0,27.5,0.0,9.5,6.0,57.0,58.849999999999994,602.3961834635786,7.2285,20,,
Ni,0.0,27.5,0.0,9.5,6.5,56.5,58.849999999999994,604.3965837438428,7.298000000000001,20,,
Ni,0.0,27.5,0.0,9.5,7.0,56.0,58.849999999999994,606.3214148292068,7.367500000000001,20,,
Ni,0.0,27.5,0.0,9.5,7.5,55.5,58.849999999999994,608.1786443584316,7.437000000000001,20,,
Ni,0.0,27.5,0.0,9.5,8.0,55.0,58.849999999999994,609.9749311028388,7.506500000000001,20,,
Ni,0.0,27.5,0.0,9.5,8.5,54.5,58.849999999999994,611.715907556368,7.5760000000000005,20,,
Ni,0.0,27.5,0.0,9.5,9.0,54.0,58.849999999999994,613.406388607915,7.6455,20,,
Ni,0.0,27.5,0.0,9.5,9.5,53.5,58.849999999999994,615.0505286376048,7.715000000000001,20,,
Ni,0.0,27.5,0.0,9.5,10.0,53.0,58.849999999999994,616.6519418112825,7.784500000000001,20,,
Ni,0.0,27.5,0.0,10.0,0.0,62.5,60.5,563.0148676499821,6.595000000000001,20,,
Ni,0.0,27.5,0.0,10.0,0.5,62.0,60.5,577.157003273713,6.6645,20,,
Ni,0.0,27.5,0.0,10.0,1.0,61.5,60.5,583.0148676499821,6.734000000000001,20,,
Ni,0.0,27.5,0.0,10.0,1.5,61.0,60.5,587.5097650778139,6.8035000000000005,20,,
Ni,0.0,27.5,0.0,10.0,2.0,60.5,60.5,591.299138897444,6.873000000000001,20,,
Ni,0.0,27.5,0.0,10.0,2.5,60.0,60.5,594.6376442516658,6.942500000000001,20,,
Ni,0.0,27.5,0.0,10.0,3.0,59.5,60.5,597.6558838013597,7.0120000000000005,20,,
Ni,0.0,27.5,0.0,10.0,3.5,59.0,60.5,600.4314415177215,7.081500000000001,20,,
Ni,0.0,27.5,0.0,10.0,4.0,58.5,60.5,603.0148676499821,7.151000000000001,20,,
Ni,0.0,27.5,0.0,10.0,4.5,58.0,60.5,605.4412745211749,7.2205,20,,
Ni,0.0,27.5,0.0,10.0,5.0,57.5,60.5,607.7362271999779,7.290000000000001,20,,
