Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.05			
2	50.00	50.00	54.07			
3	50.00	50.00	54.05			
						
Results Table 2						

						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	6.1400	0.5076	3.6810	0.1363	0.0681	0.1363
	6.1600	0.5091	3.6915	0.1367	0.0683	0.1367
	6.1800	0.5108	3.7019	0.1370	0.0685	0.1370
	6.2000	0.5125	3.7131	0.1374	0.0687	0.1374
	6.2200	0.5141	3.7244	0.1378	0.0689	0.1378
	6.2400	0.5159	3.7355	0.1382	0.0691	0.1382
	6.2600	0.5176	3.7473	0.1387	0.0693	0.1387
	6.2800	0.5192	3.7589	0.1391	0.0696	0.1391
	6.3000	0.5209	3.7696	0.1395	0.0698	0.1395
	6.3200	0.5225	3.7806	0.1399	0.0700	0.1399
	6.3400	0.5242	3.7913	0.1403	0.0702	0.1403
	6.3600	0.5259	3.8021	0.1407	0.0704	0.1407
	6.3800	0.5274	3.8131	0.1411	0.0706	0.1411
	6.4000	0.5291	3.8235	0.1415	0.0707	0.1415
	6.4200	0.5310	3.8352	0.1420	0.0710	0.1420
	6.4400	0.5327	3.8478	0.1424	0.0712	0.1424
	6.4600	0.5343	3.8592	0.1428	0.0714	0.1428
	6.4800	0.5359	3.8699	0.1432	0.0716	0.1432
	6.5000	0.5375	3.8804	0.1436	0.0718	0.1436
	6.5200	0.5392	3.8908	0.1440	0.0720	0.1440
	6.5400	0.5408	3.9018	0.1444	0.0722	0.1444
	6.5600	0.5425	3.9128	0.1449	0.0724	0.1449
	6.5800	0.5444	3.9244	0.1453	0.0726	0.1453
	6.6000	0.5461	3.9373	0.1457	0.0729	0.1457
	6.6200	0.5477	3.9492	0.1462	0.0731	0.1462
	6.6400	0.5493	3.9595	0.1466	0.0733	0.1466
	6.6600	0.5509	3.9698	0.1469	0.0735	0.1469
	6.6800	0.5526	3.9802	0.1473	0.0736	0.1473
	6.7000	0.5543	3.9912	0.1477	0.0739	0.1477
	6.7200	0.5560	4.0031	0.1482	0.0741	0.1482
	6.7400	0.5578	4.0147	0.1486	0.0743	0.1486
	6.7600	0.5596	4.0270	0.1491	0.0745	0.1491
	6.7800	0.5611	4.0385	0.1495	0.0747	0.1495
	6.8000	0.5627	4.0483	0.1498	0.0749	0.1498
	6.8200	0.5643	4.0584	0.1502	0.0751	0.1502
	6.8400	0.5659	4.0689	0.1506	0.0753	0.1506
	6.8600	0.5677	4.0798	0.1510	0.0755	0.1510
	6.8800	0.5693	4.0912	0.1514	0.0757	0.1514
	6.9000	0.5708	4.1019	0.1518	0.0759	0.1518
	6.9200	0.5725	4.1123	0.1522	0.0761	0.1522
	6.9400	0.5742	4.1237	0.1527	0.0763	0.1527
	6.9600	0.5758	4.1349	0.1530	0.0765	0.1530
	6.9800	0.5776	4.1459	0.1535	0.0767	0.1535
	7.0000	0.5792	4.1575	0.1539	0.0769	0.1539
	7.0200	0.5809	4.1689	0.1543	0.0771	0.1543
	7.0400	0.5826	4.1803	0.1547	0.0774	0.1547
	7.0600	0.5841	4.1911	0.1551	0.0776	0.1551
	7.0800	0.5858	4.2012	0.1555	0.0778	0.1555
	7.1000	0.5876	4.2127	0.1560	0.0780	0.1560
	7.1200	0.5893	4.2252	0.1564	0.0782	0.1564
	7.1400	0.5910	4.2368	0.1569	0.0784	0.1569
