X_element,C_wt%,Cr_wt%,N_wt%,Ni_wt%,Mo_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Mo,0.01,27.0,0.0,10.0,8.5,54.489999999999995,55.05,619.9680016888178,7.336513000000001,20,,
Mo,0.01,27.0,0.0,10.0,9.0,53.989999999999995,56.7,630.1108879980998,7.537013,20,,
Mo,0.01,27.0,0.0,10.0,9.5,53.489999999999995,58.349999999999994,639.9757281762382,7.737513000000001,20,,
Mo,0.01,27.0,0.0,10.0,10.0,52.989999999999995,60.0,649.5842072183052,7.9380130000000015,20,,
Mo,0.01,27.0,0.0,10.5,0.0,62.489999999999995,27.0,271.67274177881075,3.9975130000000005,20,,
Mo,0.01,27.0,0.0,10.5,0.5,61.989999999999995,28.65,356.52555552119645,4.198013,20,,
Mo,0.01,27.0,0.0,10.5,1.0,61.489999999999995,30.3,391.67274177881075,4.398513,20,,
Mo,0.01,27.0,0.0,10.5,1.5,60.989999999999995,31.95,418.64212634580144,4.599013,20,,
Mo,0.01,27.0,0.0,10.5,2.0,60.489999999999995,33.6,441.37836926358216,4.799513000000001,20,,
Mo,0.01,27.0,0.0,10.5,2.5,59.989999999999995,35.25,461.4094013889135,5.000013000000001,20,,
Mo,0.01,27.0,0.0,10.5,3.0,59.489999999999995,36.9,479.518838687076,5.200513000000001,20,,
Mo,0.01,27.0,0.0,10.5,3.5,58.989999999999995,38.55,496.1721849852472,5.401013000000001,20,,
Mo,0.01,27.0,0.0,10.5,4.0,58.489999999999995,40.2,511.67274177881075,5.601513000000001,20,,
Mo,0.01,27.0,0.0,10.5,4.5,57.989999999999995,41.85,526.2311830059679,5.8020130000000005,20,,
Mo,0.01,27.0,0.0,10.5,5.0,57.489999999999995,43.5,540.0008990787856,6.002513,20,,
Mo,0.01,27.0,0.0,10.5,5.5,56.989999999999995,45.15,553.0976873682166,6.203013,20,,
Mo,0.01,27.0,0.0,10.5,6.0,56.489999999999995,46.8,565.611510912792,6.403513,20,,
Mo,0.01,27.0,0.0,10.5,6.5,55.989999999999995,48.45,577.6139125943778,6.604013,20,,
Mo,0.01,27.0,0.0,10.5,7.0,55.489999999999995,50.099999999999994,589.1628991065616,6.804513000000001,20,,
Mo,0.01,27.0,0.0,10.5,7.5,54.989999999999995,51.75,600.3062762819104,7.005013,20,,
Mo,0.01,27.0,0.0,10.5,8.0,54.489999999999995,53.4,611.0839967483536,7.205513000000001,20,,
Mo,0.01,27.0,0.0,10.5,8.5,53.989999999999995,55.05,621.5298554695288,7.4060130000000015,20,,
Mo,0.01,27.0,0.0,10.5,9.0,53.489999999999995,56.7,631.6727417788107,7.6065130000000005,20,,
Mo,0.01,27.0,0.0,10.5,9.5,52.989999999999995,58.349999999999994,641.5375819569492,7.807013000000001,20,,
Mo,0.01,27.0,0.0,10.5,10.0,52.489999999999995,60.0,651.1460609990163,8.007513000000001,20,,
Mo,0.01,27.0,0.05,9.5,0.0,63.44,27.8,308.75869841941807,3.858588,20,,
Mo,0.01,27.0,0.05,9.5,0.5,62.94,29.45,393.6115121618038,4.059088,20,,
Mo,0.01,27.0,0.05,9.5,1.0,62.44,31.1,428.75869841941807,4.259588,20,,
Mo,0.01,27.0,0.05,9.5,1.5,61.94,32.75,455.7280829864087,4.460088,20,,
Mo,0.01,27.0,0.05,9.5,2.0,61.44,34.4,478.4643259041895,4.660588000000001,20,,
Mo,0.01,27.0,0.05,9.5,2.5,60.94,36.05,498.49535802952084,4.8610880000000005,20,,
Mo,0.01,27.0,0.05,9.5,3.0,60.44,37.699999999999996,516.6047953276833,5.061588,20,,
Mo,0.01,27.0,0.05,9.5,3.5,59.94,39.349999999999994,533.2581416258545,5.262088,20,,
Mo,0.01,27.0,0.05,9.5,4.0,59.44,41.0,548.7586984194181,5.462588,20,,
Mo,0.01,27.0,0.05,9.5,4.5,58.94,42.65,563.3171396465751,5.663088,20,,
Mo,0.01,27.0,0.05,9.5,5.0,58.44,44.3,577.0868557193928,5.863588,20,,
Mo,0.01,27.0,0.05,9.5,5.5,57.94,45.949999999999996,590.1836440088239,6.064088,20,,
