X_element,C_wt%,Cr_wt%,N_wt%,Mn_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mo_wt%,Si_wt%
Ni,0.01,27.0,0.0,10.5,10.0,52.489999999999995,27.0,351.120146728198,4.117013,20,,
Ni,0.01,27.0,0.05,9.5,0.0,63.44,27.8,324.16973342684054,2.709088,20,,
Ni,0.01,27.0,0.05,9.5,0.5,62.94,27.8,338.3118690505715,2.778588,20,,
Ni,0.01,27.0,0.05,9.5,1.0,62.44,27.8,344.16973342684054,2.8480879999999997,20,,
Ni,0.01,27.0,0.05,9.5,1.5,61.94,27.8,348.66463085467234,2.917588,20,,
Ni,0.01,27.0,0.05,9.5,2.0,61.44,27.8,352.45400467430244,2.987088,20,,
Ni,0.01,27.0,0.05,9.5,2.5,60.94,27.8,355.79251002852436,3.056588,20,,
Ni,0.01,27.0,0.05,9.5,3.0,60.44,27.8,358.81074957821806,3.1260879999999998,20,,
Ni,0.01,27.0,0.05,9.5,3.5,59.94,27.8,361.58630729457997,3.195588,20,,
Ni,0.01,27.0,0.05,9.5,4.0,59.44,27.8,364.16973342684054,3.265088,20,,
Ni,0.01,27.0,0.05,9.5,4.5,58.94,27.8,366.5961402980334,3.334588,20,,
Ni,0.01,27.0,0.05,9.5,5.0,58.44,27.8,368.8910929768363,3.404088,20,,
Ni,0.01,27.0,0.05,9.5,5.5,57.94,27.8,371.07389102507483,3.473588,20,,
Ni,0.01,27.0,0.05,9.5,6.0,57.44,27.8,373.1595282825041,3.543088,20,,
Ni,0.01,27.0,0.05,9.5,6.5,56.94,27.8,375.1599285627684,3.612588,20,,
Ni,0.01,27.0,0.05,9.5,7.0,56.44,27.8,377.0847596481324,3.6820880000000002,20,,
Ni,0.01,27.0,0.05,9.5,7.5,55.94,27.8,378.94198917735713,3.751588,20,,
Ni,0.01,27.0,0.05,9.5,8.0,55.44,27.8,380.73827592176434,3.821088,20,,
Ni,0.01,27.0,0.05,9.5,8.5,54.94,27.8,382.4792523752935,3.890588,20,,
Ni,0.01,27.0,0.05,9.5,9.0,54.44,27.8,384.16973342684054,3.960088,20,,
Ni,0.01,27.0,0.05,9.5,9.5,53.94,27.8,385.8138734565303,4.029588,20,,
Ni,0.01,27.0,0.05,9.5,10.0,53.44,27.8,387.41528663020813,4.099088,20,,
Ni,0.01,27.0,0.05,10.0,0.0,62.94,27.8,326.17149989393783,2.7180880000000003,20,,
Ni,0.01,27.0,0.05,10.0,0.5,62.44,27.8,340.3136355176688,2.7875880000000004,20,,
Ni,0.01,27.0,0.05,10.0,1.0,61.94,27.8,346.17149989393783,2.857088,20,,
Ni,0.01,27.0,0.05,10.0,1.5,61.44,27.8,350.66639732176964,2.926588,20,,
Ni,0.01,27.0,0.05,10.0,2.0,60.94,27.8,354.45577114139974,2.9960880000000003,20,,
Ni,0.01,27.0,0.05,10.0,2.5,60.44,27.8,357.7942764956216,3.0655880000000004,20,,
Ni,0.01,27.0,0.05,10.0,3.0,59.94,27.8,360.81251604531536,3.135088,20,,
