X_element,C_wt%,Cr_wt%,N_wt%,Si_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Mo_wt%
Ni,0.01,27.0,0.15,9.5,4.5,58.84,29.4,380.64958192734827,3.3252380000000006,20,,
Ni,0.01,27.0,0.15,9.5,5.0,58.34,29.4,382.9445346061512,3.3947380000000003,20,,
Ni,0.01,27.0,0.15,9.5,5.5,57.84,29.4,385.1273326543897,3.4642380000000004,20,,
Ni,0.01,27.0,0.15,9.5,6.0,57.34,29.4,387.21296991181896,3.5337380000000005,20,,
Ni,0.01,27.0,0.15,9.5,6.5,56.84,29.4,389.2133701920833,3.6032380000000006,20,,
Ni,0.01,27.0,0.15,9.5,7.0,56.34,29.4,391.13820127744725,3.6727380000000007,20,,
Ni,0.01,27.0,0.15,9.5,7.5,55.84,29.4,392.995430806672,3.7422380000000004,20,,
Ni,0.01,27.0,0.15,9.5,8.0,55.34,29.4,394.7917175510792,3.8117380000000005,20,,
Ni,0.01,27.0,0.15,9.5,8.5,54.84,29.4,396.5326940046084,3.8812380000000006,20,,
Ni,0.01,27.0,0.15,9.5,9.0,54.34,29.4,398.2231750561554,3.9507380000000003,20,,
Ni,0.01,27.0,0.15,9.5,9.5,53.84,29.4,399.8673150858452,4.020238000000001,20,,
Ni,0.01,27.0,0.15,9.5,10.0,53.34,29.4,401.468728259523,4.0897380000000005,20,,
Ni,0.01,27.0,0.15,10.0,0.0,62.84,29.4,339.82458822983324,2.708238,20,,
Ni,0.01,27.0,0.15,10.0,0.5,62.34,29.4,353.9667238535642,2.7777380000000003,20,,
Ni,0.01,27.0,0.15,10.0,1.0,61.84,29.4,359.82458822983324,2.847238,20,,
Ni,0.01,27.0,0.15,10.0,1.5,61.34,29.4,364.31948565766504,2.916738,20,,
Ni,0.01,27.0,0.15,10.0,2.0,60.84,29.4,368.10885947729514,2.986238,20,,
Ni,0.01,27.0,0.15,10.0,2.5,60.34,29.4,371.447364831517,3.0557380000000003,20,,
Ni,0.01,27.0,0.15,10.0,3.0,59.84,29.4,374.46560438121077,3.125238,20,,
Ni,0.01,27.0,0.15,10.0,3.5,59.34,29.4,377.24116209757267,3.194738,20,,
Ni,0.01,27.0,0.15,10.0,4.0,58.84,29.4,379.82458822983324,3.264238,20,,
Ni,0.01,27.0,0.15,10.0,4.5,58.34,29.4,382.2509951010261,3.3337380000000003,20,,
Ni,0.01,27.0,0.15,10.0,5.0,57.84,29.4,384.545947779829,3.403238,20,,
Ni,0.01,27.0,0.15,10.0,5.5,57.34,29.4,386.72874582806753,3.472738,20,,
Ni,0.01,27.0,0.15,10.0,6.0,56.84,29.4,388.8143830854968,3.542238,20,,
Ni,0.01,27.0,0.15,10.0,6.5,56.34,29.4,390.81478336576106,3.6117380000000003,20,,
Ni,0.01,27.0,0.15,10.0,7.0,55.84,29.4,392.739614451125,3.6812380000000005,20,,
Ni,0.01,27.0,0.15,10.0,7.5,55.34,29.4,394.59684398034983,3.750738,20,,
Ni,0.01,27.0,0.15,10.0,8.0,54.84,29.4,396.39313072475704,3.8202380000000002,20,,
Ni,0.01,27.0,0.15,10.0,8.5,54.34,29.4,398.13410717828623,3.8897380000000004,20,,
Ni,0.01,27.0,0.15,10.0,9.0,53.84,29.4,399.82458822983324,3.959238,20,,
Ni,0.01,27.0,0.15,10.0,9.5,53.34,29.4,401.468728259523,4.028738000000001,20,,
Ni,0.01,27.0,0.15,10.0,10.0,52.84,29.4,403.07014143320083,4.098238,20,,
Ni,0.01,27.0,0.15,10.5,0.0,62.34,29.4,341.3864420105442,2.7167380000000003,20,,
Ni,0.01,27.0,0.15,10.5,0.5,61.84,29.4,355.52857763427517,2.7862380000000004,20,,
Ni,0.01,27.0,0.15,10.5,1.0,61.34,29.4,361.3864420105442,2.8557380000000006,20,,
Ni,0.01,27.0,0.15,10.5,1.5,60.84,29.4,365.881339438376,2.9252380000000002,20,,
Ni,0.01,27.0,0.15,10.5,2.0,60.34,29.4,369.6707132580061,2.9947380000000003,20,,
Ni,0.01,27.0,0.15,10.5,2.5,59.84,29.4,373.009218612228,3.0642380000000005,20,,
Ni,0.01,27.0,0.15,10.5,3.0,59.34,29.4,376.02745816192174,3.133738,20,,
Ni,0.01,27.0,0.15,10.5,3.5,58.84,29.4,378.80301587828365,3.2032380000000003,20,,
Ni,0.01,27.0,0.15,10.5,4.0,58.34,29.4,381.3864420105442,3.2727380000000004,20,,
Ni,0.01,27.0,0.15,10.5,4.5,57.84,29.4,383.81284888173707,3.342238,20,,
Ni,0.01,27.0,0.15,10.5,5.0,57.34,29.4,386.10780156054,3.4117380000000006,20,,
Ni,0.01,27.0,0.15,10.5,5.5,56.84,29.4,388.2905996087785,3.4812380000000003,20,,
Ni,0.01,27.0,0.15,10.5,6.0,56.34,29.4,390.37623686620776,3.5507380000000004,20,,
Ni,0.01,27.0,0.15,10.5,6.5,55.84,29.4,392.37663714647204,3.6202380000000005,20,,
Ni,0.01,27.0,0.15,10.5,7.0,55.34,29.4,394.301468231836,3.689738,20,,
Ni,0.01,27.0,0.15,10.5,7.5,54.84,29.4,396.1586977610608,3.7592380000000003,20,,
Ni,0.01,27.0,0.15,10.5,8.0,54.34,29.4,397.954984505468,3.8287380000000004,20,,
Ni,0.01,27.0,0.15,10.5,8.5,53.84,29.4,399.6959609589972,3.8982380000000005,20,,
Ni,0.01,27.0,0.15,10.5,9.0,53.34,29.4,401.3864420105442,3.967738,20,,
Ni,0.01,27.0,0.15,10.5,9.5,52.84,29.4,403.030582040234,4.037238,20,,
Ni,0.01,27.0,0.15,10.5,10.0,52.34,29.4,404.6319952139118,4.106738,20,,
Ni,0.01,27.5,0.0,9.5,0.0,62.989999999999995,27.5,270.1856884594663,2.7465130000000006,20,,
Ni,0.01,27.5,0.0,9.5,0.5,62.489999999999995,27.5,284.32782408319724,2.8160130000000008,20,,
Ni,0.01,27.5,0.0,9.5,1.0,61.989999999999995,27.5,290.1856884594663,2.8855130000000004,20,,
Ni,0.01,27.5,0.0,9.5,1.5,61.489999999999995,27.5,294.6805858872981,2.9550130000000006,20,,
Ni,0.01,27.5,0.0,9.5,2.0,60.989999999999995,27.5,298.4699597069282,3.0245130000000007,20,,
Ni,0.01,27.5,0.0,9.5,2.5,60.489999999999995,27.5,301.80846506115006,3.094013000000001,20,,
Ni,0.01,27.5,0.0,9.5,3.0,59.989999999999995,27.5,304.8267046108438,3.1635130000000005,20,,
Ni,0.01,27.5,0.0,9.5,3.5,59.489999999999995,27.5,307.6022623272057,3.2330130000000006,20,,
